YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.9,31.9,,,28.5,35.5,"1,367",,,,,"$15,000 - $24,999",,"    (32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,16.3,16.3,,,13.8,19.1,"1,851",,,,,,Non-Hispanic Black,"    (32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,1,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,41.6,41.6,,,35.6,47.9,365,,18 - 24,,,,,"    (32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,24.7,24.7,,,23.3,26.2,"7,415",Total,,,,,,"    (32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Asian,"    (32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.8,35.8,,,32.5,39.3,"1,286",,45 - 54,,,,,"    (32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,22.0,22.0,,,18.4,25.9,"1,259",,,,,Data not reported,,"    (32.840571122, -86.631860762)",PA,PA1,Q045,VALUE,1,Income,Data not reported,INC,INCNR
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,24.4,24.4,,,22.8,26.2,"4,942",,,,,,Non-Hispanic White,"    (32.840571122, -86.631860762)",PA,PA1,Q045,VALUE,1,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,37.9,37.9,,,33.8,42.2,"1,270",,,,,Data not reported,,"    (32.840571122, -86.631860762)",PA,PA1,Q043,VALUE,1,Income,Data not reported,INC,INCNR
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,22.2,22.2,,,17.8,27.3,535,,35 - 44,,,,,"    (64.845079957001, -147.722059036)",PA,PA1,Q044,VALUE,2,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,26.9,26.9,,,23.2,31.0,964,,,High school graduate,,,,"    (64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,2,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,30.2,30.2,,,20.6,41.9,134,,,,,,2 or more races,"    (64.845079957001, -147.722059036)",PA,PA1,Q047,VALUE,2,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,42.3,42.3,,,35.2,49.7,397,,,,,"$35,000 - $49,999",,"    (64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.5,23.5,,,18.6,29.2,451,,25 - 34,,,,,"    (64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.7,26.7,,,23.9,29.7,"1,716",,,,Female,,,"    (64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.9,38.9,,,33.6,44.4,559,,35 - 44,,,,,"    (64.845079957001, -147.722059036)",OWS,OWS1,Q037,VALUE,2,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,62.8,62.8,,,54.0,70.9,203,,18 - 24,,,,,"    (64.845079957001, -147.722059036)",PA,PA1,Q043,VALUE,2,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,35.9,35.9,,,33.2,38.6,"2,417",,,,,,Non-Hispanic White,"    (64.845079957001, -147.722059036)",PA,PA1,Q046,VALUE,2,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Non-Hispanic Black,"    (64.845079957001, -147.722059036)",PA,PA1,Q045,VALUE,2,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.0,39.0,,,33.0,45.4,806,,,,,"$50,000 - $74,999",,"    (34.86597028, -111.763811277)",OWS,OWS1,Q037,VALUE,4,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,31.9,31.9,,,26.7,37.7,801,,,,,Data not reported,,"    (34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Income,Data not reported,INC,INCNR
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,21.9,21.9,,,19.9,24.1,"4,504",,,,,,Non-Hispanic White,"    (34.86597028, -111.763811277)",PA,PA1,Q047,VALUE,4,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,48.8,48.8,,,40.7,57.0,630,,,,,"$25,000 - $34,999",,"    (34.86597028, -111.763811277)",PA,PA1,Q043,VALUE,4,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,17.4,17.4,,,15.0,20.1,"2,050",,,College graduate,,,,"    (34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Other,"    (34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Race/Ethnicity,Other,RACE,RACEOTH
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.4,39.4,,,36.6,42.2,"1,842",,65 or older,,,,,"    (34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Hawaiian/Pacific Islander,"    (34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,12.0,12.0,,,8.2,17.1,793,,,,,"$15,000 - $24,999",,"    (34.748650124, -92.274490743)",PA,PA1,Q044,VALUE,5,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Asian,"    (34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Hawaiian/Pacific Islander,"    (34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,43.9,43.9,,,39.9,48.0,"1,537",,,High school graduate,,,,"    (34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.4,20.4,,,14.4,28.1,537,,,,,,Non-Hispanic Black,"    (34.748650124, -92.274490743)",PA,PA1,Q044,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,17.2,17.2,,,14.4,20.4,"1,060",,55 - 64,,,,,"    (34.748650124, -92.274490743)",PA,PA1,Q046,VALUE,5,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.6,30.6,,,25.2,36.7,528,,,,,"$50,000 - $74,999",,"    (34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.3,35.3,,,28.7,42.6,592,,,,,,Non-Hispanic Black,"    (34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,18.7,18.7,,,17.1,20.5,"3,874",,,,,,Hispanic,"    (37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,33.8,33.8,,,27.0,41.3,313,,,,,,2 or more races,"    (37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,40.3,40.3,,,37.4,43.2,"1,870",,,Less than high school,,,,"    (37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Education,Less than high school,EDU,EDUHS
2011,2011,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,37.3,37.3,,,27.5,48.2,151,,,,,,American Indian/Alaska Native,"    (37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,39.2,39.2,,,35.8,42.7,"1,675",,,,,"$35,000 - $49,999",,"    (38.843840757, -106.133610921)",PA,PA1,Q045,VALUE,8,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,59.5,59.5,,,54.8,64.1,"1,082",,,,,"$25,000 - $34,999",,"    (38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.7,52.7,,,47.1,58.1,702,,,Less than high school,,,,"    (38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Education,Less than high school,EDU,EDUHS
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,25.0,25.0,,,21.0,29.5,"1,014",,,,,"Less than $15,000",,"    (38.843840757, -106.133610921)",PA,PA1,Q047,VALUE,8,Income,"Less than $15,000",INC,INCLESS15
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,18.9,18.9,,,17.8,19.9,"10,641",,,,,,Non-Hispanic White,"    (38.843840757, -106.133610921)",OWS,OWS1,Q036,VALUE,8,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,61.6,61.6,,,57.5,65.5,"1,461",,,,,Data not reported,,"    (38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Income,Data not reported,INC,INCNR
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,35.4,35.4,,,32.0,39.0,"1,714",,,,,"$35,000 - $49,999",,"    (38.843840757, -106.133610921)",PA,PA1,Q046,VALUE,8,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,21.3,21.3,,,18.6,24.3,"1,757",,,,,"$35,000 - $49,999",,"    (38.843840757, -106.133610921)",OWS,OWS1,Q036,VALUE,8,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.8,36.8,,,34.8,38.9,"3,773",,,,,"$75,000 or greater",,"    (38.843840757, -106.133610921)",OWS,OWS1,Q037,VALUE,8,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,CO,Colorado,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.2,24.2,,,22.1,26.5,"2,487",,45 - 54,,,,,"    (38.843840757, -106.133610921)",OWS,OWS1,Q036,VALUE,8,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.0,29.0,,,25.9,32.3,"1,579",,,High school graduate,,,,"    (41.56266102, -72.649840952)",OWS,OWS1,Q036,VALUE,9,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,37.0,37.0,,,22.9,53.7,56,,,,,,2 or more races,"    (41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,9,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,22.1,22.1,,,20.0,24.4,"1,984",,65 or older,,,,,"    (41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,33.2,33.2,,,28.7,37.9,638,,25 - 34,,,,,"    (41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.6,37.6,,,34.2,41.2,"1,333",,55 - 64,,,,,"    (41.56266102, -72.649840952)",OWS,OWS1,Q037,VALUE,9,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,22.8,22.8,,,17.8,28.7,490,,,,,,Hispanic,"    (41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,9,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,34.4,34.4,,,31.8,37.0,"2,476",,,,Male,,,"    (41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Sex,Male,SEX,MALE
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,30.4,30.4,,,25.0,36.4,525,,,,,"$25,000 - $34,999",,"    (41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,9,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,,,30.2,43.6,469,,,,,"Less than $15,000",,"    (41.56266102, -72.649840952)",OWS,OWS1,Q037,VALUE,9,Income,"Less than $15,000",INC,INCLESS15
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,34.4,34.4,,,29.2,40.0,728,,,,,"$35,000 - $49,999",,"    (41.56266102, -72.649840952)",PA,PA1,Q045,VALUE,9,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.2,20.2,,,9.9,36.9,51,,,,,,Other,"    (41.56266102, -72.649840952)",PA,PA1,Q044,VALUE,9,Race/Ethnicity,Other,RACE,RACEOTH
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,,Value,27.1,27.1,,,22.6,32.1,749,,,,,"$35,000 - $49,999",,"    (41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,9,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.2,32.2,,,18.4,50.0,57,,,,,,2 or more races,"    (41.56266102, -72.649840952)",OWS,OWS1,Q037,VALUE,9,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity (or an equivalent combination) and engage in muscle-strengthening activities on 2 or more days a week,,Value,22.1,22.1,,,14.2,32.8,154,,,,,,Asian,"    (41.56266102, -72.649840952)",PA,PA1,Q044,VALUE,9,Race/Ethnicity,Asian,RACE,RACEASN
2011,2011,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,25.9,25.9,,,23.1,28.9,"1,412",,55 - 64,,,,,"    (41.56266102, -72.649840952)",PA,PA1,Q046,VALUE,9,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,14.2,14.2,,,9.1,21.5,235,,18 - 24,,,,,"    (39.008830667, -75.577741168)",OWS,OWS1,Q036,VALUE,10,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,50.6,50.6,,,37.0,64.1,79,,,,,,2 or more races,"    (39.008830667, -75.577741168)",PA,PA1,Q043,VALUE,10,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.0,35.0,,,33.0,37.0,"4,530",Total,,,,,,"    (39.008830667, -75.577741168)",OWS,OWS1,Q037,VALUE,10,Total,Total,OVR,OVERALL
2011,2011,DE,Delaware,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.9,32.9,,,27.6,38.6,598,,,,,"$35,000 - $49,999",,"    (39.008830667, -75.577741168)",OWS,OWS1,Q037,VALUE,10,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve more than 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,30.3,30.3,,,27.5,33.3,"1,568",,,College graduate,,,,"    (39.008830667, -75.577741168)",PA,PA1,Q045,VALUE,10,Education,College graduate,EDU,EDUCOGRAD
